id,neighbourhood_group_cleansed,neighbourhood_cleansed,latitude,longitude,room_type,host_is_superhost,price,occupancy_rate,review_scores_rating,availability_365,has_price
3176,Pankow,Prenzlauer Berg Südwest,52.53471,13.4181,Entire home/apt,No,105.0,69.0,4.63,140,True
9991,Pankow,Prenzlauer Berg Südwest,52.53269,13.41805,Entire home/apt,No,135.0,0.0,5.0,241,True
14325,Pankow,Prenzlauer Berg Nordwest,52.54813,13.40366,Entire home/apt,No,75.0,0.0,4.68,168,True
17904,Neukölln,Reuterstraße,52.49419,13.42166,Entire home/apt,No,32.0,51.0,4.77,72,True
20858,Pankow,Prenzlauer Berg Südwest,52.53711,13.40888,Entire home/apt,No,202.0,13.7,4.48,253,True
22438,Mitte,Brunnenstr. Süd,52.53408,13.38871,Entire home/apt,No,,0.0,4.7,147,False
22677,Mitte,Brunnenstr. Süd,52.53355,13.40476,Entire home/apt,Yes,152.0,69.9,4.81,321,True
23834,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49134,13.37975,Entire home/apt,No,65.0,0.0,4.37,0,True
26543,Pankow,Helmholtzplatz,52.54419,13.41956,Entire home/apt,No,260.0,0.0,4.66,365,True
28156,Pankow,Prenzlauer Berg Nordwest,52.54804,13.40349,Entire home/apt,No,70.0,0.0,4.66,166,True
30295,Pankow,Helmholtzplatz,52.54596,13.42291,Entire home/apt,Yes,172.0,69.9,4.8,277,True
34854,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49546,13.30858,Entire home/apt,Yes,60.0,69.9,5.0,116,True
37004,Tempelhof - Schöneberg,Schöneberg-Nord,52.49376,13.36408,Private room,No,60.0,7.7,4.74,54,True
37554,Mitte,Regierungsviertel,52.50906,13.39374,Entire home/apt,No,,0.0,4.38,0,False
37836,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4987,13.44041,Private room,Yes,,3.6,4.53,0,False
41217,Pankow,Prenzlauer Berg Südwest,52.5378,13.41287,Private room,No,,0.0,4.71,0,False
42487,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49661,13.44038,Private room,Yes,54.0,51.8,4.84,83,True
42809,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51099,13.45642,Entire home/apt,Yes,200.0,49.3,4.91,85,True
55853,Charlottenburg-Wilm.,Neue Kantstraße,52.50469,13.29409,Entire home/apt,No,54.0,69.9,4.82,165,True
57049,Pankow,Prenzlauer Berg Nordwest,52.54758,13.40632,Entire home/apt,Yes,290.0,48.2,4.93,129,True
58780,Pankow,Prenzlauer Berg Süd,52.53572,13.42739,Entire home/apt,Yes,240.0,69.9,4.83,345,True
64014,Mitte,Brunnenstr. Nord,52.54059,13.40301,Entire home/apt,No,282.0,10.4,4.8,52,True
64245,Pankow,Prenzlauer Berg Nordwest,52.54994,13.406019,Private room,Yes,,38.1,4.95,1,False
64590,Neukölln,Reuterstraße,52.49337,13.42555,Entire home/apt,Yes,144.0,62.2,4.99,69,True
68448,Pankow,Prenzlauer Berg Nord,52.55004,13.41518,Entire home/apt,Yes,137.0,69.9,4.64,343,True
69780,Pankow,Prenzlauer Berg Nordwest,52.5488,13.40425,Entire home/apt,No,106.0,69.9,5.0,255,True
80843,Charlottenburg-Wilm.,Schmargendorf,52.48074,13.28903,Entire home/apt,Yes,99.0,41.4,4.95,27,True
81081,Pankow,Prenzlauer Berg Nord,52.55064,13.41466,Entire home/apt,Yes,68.0,69.9,4.93,83,True
83614,Pankow,Helmholtzplatz,52.54720260822955,13.416090488433827,Entire home/apt,Yes,293.0,27.7,4.87,319,True
